,,"Violent Crime Rates (per 100,000 population)",,,,
Geography (Footnotes in parentheses–see bottom of spreadsheet),Violations (Footnotes in parentheses–see bottom of spreadsheet),2008,2009,2010,2011,2012
Canada (50),Total violent Criminal Code violations (16),1331.45,1318.04,1287.03,1230.54,1190.12
Canada (50),"Homicide (17,24)",1.83,1.81,1.62,1.73,1.56
Canada (50),"Murder, first degree (17,24)",0.88,0.83,0.73,0.76,0.7
Canada (50),"Murder, second degree (17,24)",0.79,0.77,0.7,0.77,0.66
Canada (50),"Manslaughter (17,24)",0.17,0.21,0.18,0.2,0.19
Canada (50),"Infanticide (17,24)",0,0,0.01,0,0
Canada (50),Total other violations causing death,0.28,0.3,0.29,0.22,0.28
Canada (50),Criminal negligence causing death,0.27,0.28,0.28,0.21,0.27
Canada (50),Other related violations causing death,0.01,0.02,0.01,0.01,0.01
Canada (50),Attempted murder,2.16,2.37,1.96,1.93,1.94
Canada (50),"Sexual assault, level 3, aggravated",0.42,0.35,0.52,0.43,0.37
Canada (50),"Sexual assault, level 2, weapon or bodily harm",1.05,1.04,1.18,1.16,1.06
Canada (50),"Sexual assault, level 1",62.98,60.63,63.87,61.8,61.42
Canada (50),Total sexual violations against children (26),4.31,7.98,10.8,11.03,11.38
Canada (50),Sexual interference (26),2.32,5.11,7.28,7.3,7.48
Canada (50),Invitation to sexual touching (26),0.75,1.3,1.64,1.75,1.7
Canada (50),Sexual exploitation (26),0.31,0.32,0.38,0.34,0.31
Canada (50),Making sexually explicit material available to children (48),,,,,0.03
Canada (50),Luring a child via a computer (26),0.92,1.25,1.5,1.65,1.85
Canada (50),"Assault, level 3, aggravated",10.78,10.73,10.2,10.23,10.07
Canada (50),"Assault, level 2, weapon or bodily harm",164.56,158.28,152.24,146.24,142.02
Canada (50),"Assault, level 1",543.29,535.37,513.64,501.97,487.37
Canada (50),"Total assaults against a peace officer (25,35)",29.43,35.1,46.63,33.13,30.42
Canada (50),Total other assaults,11.63,10.16,9.61,8.66,8.33
Canada (50),Unlawfully causing bodily harm,1.53,1.64,1.56,1.34,1.43
Canada (50),Criminal negligence causing bodily harm,0.75,0.77,0.78,0.93,0.64
Canada (50),Other assaults,9.35,7.75,7.27,6.39,6.25
Canada (50),"Total firearms; use of, discharge, pointing",4.44,5.15,5.91,5.64,5.85
Canada (50),Discharge firearm with intent,1.26,1.58,1.81,1.65,1.83
Canada (50),Using firearm in commission of offence,1.02,1.16,1.21,1.22,1.24
Canada (50),Pointing a firearm,2.16,2.41,2.88,2.77,2.78
Canada (50),Total robbery (18),97.16,96.25,89.31,86.39,79.36
Canada (50),Robbery (18),97.16,96.24,89.26,86.34,79.32
Canada (50),Robbery to steal a firearm (18),0,0.01,0.04,0.05,0.04
Canada (50),Total forcible confinement or kidnapping (34),14.2,14.21,12.6,10.96,10.35
Canada (50),Forcible confinement or kidnapping (34),13.97,12.71,6.02,1.61,1.04
Canada (50),Kidnapping (34),0.03,0.16,0.8,0.88,0.83
Canada (50),Forcible confinement (34),0.21,1.34,5.78,8.48,8.47
Canada (50),Total abduction,1.38,1.29,1.32,1.17,1.12
Canada (50),"Abduction under the age 14, not parent or guardian",0.6,0.5,0.5,0.4,0.43
Canada (50),Abduction under the age 16,0.14,0.12,0.12,0.11,0.11
Canada (50),Removal of children from Canada,0.02,0.02,0.01,0.06,0.02
Canada (50),Abduction under the age 14 contravening a custody order,0.38,0.41,0.42,0.34,0.33
Canada (50),"Abduction under age 14, by parent or guardian",0.24,0.24,0.26,0.27,0.23
Canada (50),Extortion,4.21,5.09,4.62,4.43,4.91
Canada (50),Criminal harassment (36),55.68,58.88,62.46,63.08,63.65
Canada (50),Uttering threats,237.22,233.2,223.72,208.15,201.78
Canada (50),Threatening or harassing phone calls,72.95,68.75,63.31,58.75,53.65
Canada (50),Total other violent violations,11.48,11.08,11.22,13.44,13.25
Canada (50),Conspire to commit murder,0.1,0.15,0.08,0.1,0.14
Canada (50),Other sexual violations,5.06,1.69,0.19,0.14,0.11
Canada (50),Sexual Exploitation of a person with a disability,0,0,0.05,0.06,0.1
Canada (50),Incest,0.29,0.6,0.67,0.63,0.64
Canada (50),Corrupting morals of a child,0.06,0.07,0.13,0.1,0.11
Canada (50),Anal intercourse,0.05,0.05,0.09,0.06,0.04
Canada (50),"Bestiality, commit or compel person",0.02,0.03,0.05,0.08,0.05
Canada (50),Voyeurism,0.87,1.13,1.27,1.75,1.83
Canada (50),Trap likely to or causing bodily harm,0.01,0.01,0,0.01,0.02
